	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
ENSMUSG00000083422	0	0	0	0	0	0
ENSMUSG00000094979	0	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0	0
ENSMUSG00000103448	1	0	0	0	0	0
ENSMUSG00000100212	1	0	4	5	2	0
ENSMUSG00000100648	3	3	6	2	3	3
ENSMUSG00000088585	0	0	0	0	0	0
ENSMUSG00000048960	111	82	53	186	96	62
ENSMUSG00000077318	0	0	0	0	0	0
ENSMUSG00000101827	0	0	0	0	0	0
ENSMUSG00000103494	0	0	0	0	0	0
ENSMUSG00000057715	2202	585	123	1884	113	381
ENSMUSG00000103825	0	0	0	0	0	0
ENSMUSG00000099845	0	0	0	0	0	0
ENSMUSG00000103561	0	0	0	0	0	0
ENSMUSG00000101610	1	3	10	10	9	4
ENSMUSG00000093864	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0
ENSMUSG00000097628	18	29	23	29	10	21
ENSMUSG00000098163	0	0	0	0	0	0
ENSMUSG00000097171	1	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0
ENSMUSG00000016918	2698	236	180	1756	392	379
ENSMUSG00000025938	39	36	230	87	63	11
ENSMUSG00000104518	0	0	0	0	0	0
ENSMUSG00000069620	0	0	0	0	0	0
ENSMUSG00000099498	0	0	0	0	1	0
ENSMUSG00000042414	0	3	0	0	0	1
ENSMUSG00000005886	467	588	697	720	184	544
ENSMUSG00000103506	0	0	0	0	0	0
ENSMUSG00000103495	0	0	0	0	0	0
ENSMUSG00000099183	0	0	0	0	0	0
ENSMUSG00000102639	0	0	0	0	0	0
ENSMUSG00000104170	0	0	0	0	0	0
ENSMUSG00000087782	0	0	0	0	0	0
ENSMUSG00000103085	0	0	0	0	0	0
ENSMUSG00000102664	0	0	0	0	0	0
ENSMUSG00000101476	3	2	5	3	0	2
ENSMUSG00000101171	1	1	0	0	0	0
ENSMUSG00000025935	3960	7764	2637	3166	2310	3301
ENSMUSG00000025937	709	597	595	582	362	455
ENSMUSG00000102982	0	0	0	0	0	0
ENSMUSG00000067813	1	4	0	0	3	1
ENSMUSG00000077368	0	0	0	0	0	0
ENSMUSG00000097711	30	45	21	26	16	39
ENSMUSG00000102166	0	0	0	0	0	0
ENSMUSG00000089358	0	0	0	0	0	0
ENSMUSG00000104209	0	0	0	0	0	0
ENSMUSG00000025932	88	1	87	13	283	4
ENSMUSG00000095853	0	0	0	0	0	0
ENSMUSG00000102588	0	0	0	0	0	0
ENSMUSG00000054493	19	2	6	8	9	1
ENSMUSG00000025930	0	0	0	0	0	0
ENSMUSG00000103492	15	1	0	0	1	0
ENSMUSG00000081201	2415	1510	2000	3050	2488	3044
ENSMUSG00000082193	8446	5375	5566	6723	5191	5240
ENSMUSG00000032769	4	4	4	0	1	0
ENSMUSG00000088159	0	0	0	0	0	0
ENSMUSG00000073737	13	16	9	21	10	14
ENSMUSG00000092083	8	2	7	3	7	2
ENSMUSG00000102937	0	0	0	0	0	0
ENSMUSG00000104149	0	0	0	0	0	0
ENSMUSG00000088829	0	0	0	0	0	0
ENSMUSG00000077377	0	0	0	0	0	0
ENSMUSG00000101652	0	2	0	1	0	1
ENSMUSG00000100814	0	0	0	0	0	0
ENSMUSG00000025925	747	925	519	611	415	643
ENSMUSG00000104379	0	6	0	2	2	9
ENSMUSG00000032719	40	58	16	27	34	96
ENSMUSG00000088943	0	0	0	0	0	0
ENSMUSG00000100652	0	1	0	0	1	2
ENSMUSG00000067795	8	0	4	3	3	5
ENSMUSG00000043716	47272	36483	35820	38178	31823	39815
ENSMUSG00000025921	792	433	451	953	810	879
ENSMUSG00000104165	0	0	0	0	0	0
ENSMUSG00000100868	0	0	1	0	0	0
ENSMUSG00000025920	587	370	505	575	229	733
ENSMUSG00000089982	0	0	0	0	0	0
ENSMUSG00000025939	991	741	805	852	517	738
ENSMUSG00000102457	2	0	0	0	0	0
ENSMUSG00000079658	2418	1986	2626	2401	1969	1885
ENSMUSG00000097744	3	1	0	5	0	6
ENSMUSG00000100959	1	0	0	2	0	1
ENSMUSG00000025940	858	1041	857	1204	642	903
ENSMUSG00000025779	143	116	93	172	86	63
ENSMUSG00000100093	0	0	0	0	0	0
ENSMUSG00000091020	23	32	35	31	19	40
ENSMUSG00000101640	8	13	6	12	6	13
ENSMUSG00000104133	0	0	0	0	0	0
ENSMUSG00000042686	2	10	9	0	0	0
ENSMUSG00000100110	0	0	0	0	0	0
ENSMUSG00000025777	0	4	10	0	0	0
ENSMUSG00000099899	0	0	0	0	0	0
ENSMUSG00000100272	0	0	0	0	0	0
ENSMUSG00000100398	0	0	0	0	0	1
ENSMUSG00000101589	67	43	26	43	63	62
ENSMUSG00000102048	1	0	0	0	1	1
ENSMUSG00000089534	0	0	0	0	0	0
ENSMUSG00000067780	72	1	0	7	53	1
ENSMUSG00000100053	2	0	0	2	0	0
ENSMUSG00000085125	1	0	2	1	1	1
ENSMUSG00000025776	12	0	0	1	1	0
ENSMUSG00000099895	11	1	0	3	1	0
ENSMUSG00000100554	0	0	0	0	0	0
ENSMUSG00000099473	0	0	0	1	0	0
ENSMUSG00000099591	0	0	0	0	0	0
ENSMUSG00000102001	1	0	1	1	2	0
ENSMUSG00000101717	0	1	0	0	0	0
ENSMUSG00000025774	6	3	1	3	0	0
ENSMUSG00000070977	0	1	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0
ENSMUSG00000067773	1	4	0	1	2	0
ENSMUSG00000101685	0	0	0	0	0	0
ENSMUSG00000101738	0	0	0	0	0	0
ENSMUSG00000101306	0	0	0	0	0	0
ENSMUSG00000088800	0	0	0	0	0	0
ENSMUSG00000101644	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0
ENSMUSG00000089787	0	1	0	0	0	0
ENSMUSG00000042596	971	364	571	860	586	481
ENSMUSG00000100720	0	0	0	0	0	0
ENSMUSG00000025927	11	851	1	23	0	0
ENSMUSG00000100538	0	0	0	0	0	0
ENSMUSG00000101117	0	0	0	0	0	0
ENSMUSG00000100204	22	27	46	33	11	15
ENSMUSG00000084668	0	0	0	0	0	0
ENSMUSG00000102597	0	0	0	0	0	0
ENSMUSG00000077860	0	0	0	0	0	0
ENSMUSG00000043760	387	7	18	476	9	25
ENSMUSG00000104095	0	0	0	0	0	0
ENSMUSG00000089914	0	0	0	0	0	0
ENSMUSG00000090142	0	0	0	0	0	0
ENSMUSG00000070175	0	0	0	0	0	0
ENSMUSG00000065559	0	0	0	0	1	0
ENSMUSG00000099906	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	0
ENSMUSG00000041872	3	1	3	2	2	0
ENSMUSG00000041859	3620	2611	4295	4504	3356	2848
ENSMUSG00000099714	0	0	0	0	0	0
ENSMUSG00000102121	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0
ENSMUSG00000097934	1	0	4	2	3	6
ENSMUSG00000025931	143	57	208	145	204	93
ENSMUSG00000077314	0	0	0	0	0	0
ENSMUSG00000100929	0	0	0	0	0	0
ENSMUSG00000041809	213	23	120	258	66	167
ENSMUSG00000041779	1529	314	700	1357	652	875
ENSMUSG00000099971	0	0	0	1	0	0
ENSMUSG00000100819	6	4	5	3	4	5
ENSMUSG00000025933	141	22	140	96	85	90
ENSMUSG00000102633	0	1	7	2	0	3
ENSMUSG00000025934	0	0	1	3	0	0
ENSMUSG00000099343	1	0	0	0	0	1
ENSMUSG00000096375	8	3	15	11	4	5
ENSMUSG00000025936	0	0	0	0	0	0
ENSMUSG00000093963	0	0	0	0	0	0
ENSMUSG00000067750	0	0	0	0	0	0
ENSMUSG00000086194	0	0	0	0	0	0
ENSMUSG00000094436	0	0	0	0	0	0
ENSMUSG00000041722	0	0	0	0	0	0
ENSMUSG00000085507	0	0	0	0	0	0
ENSMUSG00000094926	0	0	0	0	0	0
ENSMUSG00000085079	0	0	0	0	0	0
ENSMUSG00000085679	0	0	0	0	0	0
ENSMUSG00000028033	134	10	75	70	114	6
ENSMUSG00000104138	0	0	0	0	0	0
ENSMUSG00000082935	0	0	0	0	0	0
ENSMUSG00000103748	0	0	0	0	0	0
ENSMUSG00000097109	0	0	0	0	0	0
ENSMUSG00000099692	0	0	0	1	0	0
ENSMUSG00000100418	0	0	0	0	0	0
ENSMUSG00000041670	4	4	5	2	8	1
ENSMUSG00000097642	0	0	0	0	0	0
ENSMUSG00000101468	0	0	0	0	0	0
ENSMUSG00000101227	12	0	1	17	3	1
ENSMUSG00000073730	0	0	0	0	0	0
ENSMUSG00000089553	0	0	0	0	0	0
ENSMUSG00000102766	0	1	0	0	0	0
ENSMUSG00000065405	0	0	0	0	0	0
ENSMUSG00000097970	9	2	5	3	1	3
ENSMUSG00000065567	0	0	0	0	0	0
ENSMUSG00000100775	1	0	1	0	0	1
ENSMUSG00000101226	0	0	0	0	0	0
ENSMUSG00000026158	790	388	326	576	346	785
ENSMUSG00000097920	2	2	4	0	0	0
ENSMUSG00000099503	0	0	0	0	0	0
ENSMUSG00000026156	32	46	36	61	27	31
ENSMUSG00000026155	508	321	383	471	210	282
ENSMUSG00000026154	584	194	480	528	385	509
ENSMUSG00000102495	0	3	0	0	0	0
ENSMUSG00000026153	391	348	312	585	123	447
ENSMUSG00000102398	0	1	0	0	0	0
ENSMUSG00000097670	0	0	0	0	0	0
ENSMUSG00000026147	11	42	4	8	1	8643
ENSMUSG00000026141	6	8	1	3	5	53
ENSMUSG00000077463	0	0	0	0	0	0
ENSMUSG00000099997	90	122	120	81	108	70
ENSMUSG00000100131	4289	10297	6112	8422	2128	9260
ENSMUSG00000067736	2041	4899	3062	4144	926	3159
ENSMUSG00000101939	3011	8351	3566	3575	4314	4902
ENSMUSG00000101111	70778	62066	64074	74511	55599	99489
ENSMUSG00000100862	43546	122259	44024	61103	29404	88542
