Ensembl_ID	Control_1	Control_2	Control_3	Control_4	Treatment_1	Treatment_2	Treatment_3	Treatment_4
ENSG00000080298	498.00770500035827	394.30110770295215	457.85975518106636	476.04686809763814	372.3430239321002	417.1055875050902	377.538640402292	386.30328591128506
ENSG00000107249	8.892994732149255	26.286740513530145	10.445469699948282	6.859464958179224	1.8074904074373797	1.1152555815644123	0	1.5329495472670043
ENSG00000106688	3.557197892859702	1.8776243223950102	0	1.3718929916358449	0	0	1.334058800008099	0.5109831824223348
ENSG00000106686	7.114395785719404	0	0	2.7437859832716898	0	0.5576277907822061	7.337323400044545	1.5329495472670043
ENSG00000205808	0	0	0	0	0	0	0	0
ENSG00000106993	145.84511360724778	238.4582889441663	231.54124501552025	209.89962772028426	336.7957125858317	306.6952849302134	338.85093520205714	300.96909444675515
ENSG00000147853	1140.0819246615345	1220.4558095567565	1025.3969422115897	1035.779208685063	559.1170327006295	573.7989967148902	560.3046960034015	525.2907115301601
ENSG00000120158	339.71239876810154	304.1751402279917	450.8961087144342	507.6004069052626	513.3272757122159	464.5039497215778	466.2535506028306	476.236326017616
ENSG00000096968	782.5835364291344	781.0917181163243	1190.7835457941042	1264.885338288249	795.8982760749262	893.3197208330944	849.1284262051549	859.9846960167894
ENSG00000120210	7.114395785719404	0	13.927292933264377	9.603250941450915	2.409987209916506	1.1152555815644123	2.668117600016198	2.554915912111674
ENSG00000120211	0	0	0	0	0	0	0	0
ENSG00000107014	7.114395785719404	0	3.4818232333160943	2.7437859832716898	3.6149808148747593	3.9033945354754436	2.0010882000121484	4.087865459378678
ENSG00000107018	0	0	3.4818232333160943	1.3718929916358449	2.409987209916506	2.2305111631288246	0	0
ENSG00000107020	129.83772308937912	193.39530520668606	363.85052788153183	389.6176096245799	235.5762497693385	224.7239996852291	236.1284076014335	228.40948254278365
ENSG00000120217	889.2994732149255	861.8295639793097	177.5729848991208	189.32123284574658	22.89487849420681	16.728833723466185	20.677911400125534	21.972276844160394
ENSG00000197646	131.61632203580896	122.04558095567566	47.00461364976727	42.52868274071119	3.6149808148747593	3.345766744693237	2.0010882000121484	4.087865459378678
ENSG00000107036	257.8968472323284	167.1085646931559	282.02768189860365	322.39485303442353	372.94552073457936	413.759820760397	427.5658454025957	366.374941796814
ENSG00000099219	371.72717980383885	242.2135375889563	334.255030398345	334.74188995914614	261.4836122759409	269.8918507385878	302.83134760183844	225.85456663067197
ENSG00000183354	482.0003144824896	369.891991511817	671.9918840300062	772.3757542909807	783.2458432228646	824.1738747761008	780.4243980047379	809.9083441394006
ENSG00000120215	0	0	0	0	0	0	0	0
ENSG00000137040	311.2548156252239	341.7276266758919	215.87304046559782	237.33748755300115	706.1262525055363	646.290609516577	667.6964294040536	665.3001035138799
ENSG00000137033	0	0	1.7409116166580472	0	0.6024968024791265	0	0	0
ENSG00000170777	0	0	0	0	0	0	0	0
ENSG00000147854	1527.816494983242	1624.145038871684	1082.8470255613054	1079.67978441741	857.3529499277971	869.8993536202416	909.8281016055234	830.347671436294
ENSG00000178445	19.564588410728362	15.020994579160082	0	6.859464958179224	6.627464827270392	1.6728833723466185	2.0010882000121484	2.554915912111674
ENSG00000107077	1554.4954791796897	1423.2392363754177	1608.6023337920356	1504.9666118245218	1182.7012232665254	1247.4133679797953	1173.9717440071272	1167.0855886526126
ENSG00000137038	232.99646198231048	341.7276266758919	337.7368536316611	408.82411150748175	577.1919367750032	508.5565451933721	528.9543142032112	567.7023156712139
ENSG00000153707	3128.555546770108	4173.958868684108	1742.6525282747052	1702.5192026200834	1470.0921980490689	2016.9397192592398	2043.7780816124077	1827.2758603422692
ENSG00000107165	0	0	0	0	0	0	1.334058800008099	0
ENSG00000153714	0	0	0	0	0	0	0	0
ENSG00000107186	1.778598946429851	7.510497289580041	0	0	0.6024968024791265	0	0	0
ENSG00000147862	243.6680556608896	349.2381239654719	294.21406321520993	251.05641746935962	7.229961629749519	0	1.334058800008099	1.0219663648446695
ENSG00000175893	216.98907146444182	176.49668630513096	435.22790416451176	426.65872039874773	266.90608349825305	211.89856049723835	223.45484900135656	218.7008020767593
ENSG00000147869	0	0	0	0	0	0	0	0
ENSG00000164946	3.557197892859702	1.8776243223950102	0	0	0.6024968024791265	1.1152555815644123	0	1.0219663648446695
ENSG00000155158	160.07390517868657	157.72044308118086	107.93652023279891	107.0076533475959	7.229961629749519	7.806789070950887	8.004352800048594	7.664747736335022
ENSG00000164975	1156.0893151794032	1295.560782452557	757.2965532462505	760.0287173662581	325.9507701412075	332.9037910969771	332.18064120201666	295.3482794401095
ENSG00000164985	1552.7168802332599	1793.1312278872347	1001.024179578377	1039.8948876599704	959.1749095467695	1120.8318594722346	1035.8966582062887	990.2854075344848
ENSG00000164989	135.17351992866867	165.2309403707609	109.67743184945697	137.18929916358448	15.062420061978164	13.940694769555154	4.6692058000283465	12.263596378136034
ENSG00000173068	5.335796839289553	15.020994579160082	10.445469699948282	0	0	1.1152555815644123	2.668117600016198	4.087865459378678
ENSG00000044459	24.900385250017912	16.898618901555093	67.89555304966383	74.08222154833562	54.224712223121394	51.859384542745175	41.35582280025107	51.60930142465581
ENSG00000107295	1.778598946429851	18.776243223950104	3.4818232333160943	4.115678974907534	0.6024968024791265	1.6728833723466185	0.6670294000040495	2.043932729689339
ENSG00000178031	78.25835364291345	123.92320527807067	121.8638131660633	124.84226223886188	7.229961629749519	1.6728833723466185	6.670294000040495	3.5768822769563435
ENSG00000155875	1.778598946429851	3.7552486447900204	0	0	9.037452037186899	5.018650117039856	5.336235200032396	4.598848641801013
ENSG00000155876	1284.1484393223525	1460.791722823318	1478.033962542682	1333.4799878700412	1356.2203023805139	1500.0187572041348	1416.103416208597	1440.972574430984
ENSG00000147874	224.10346725016123	232.82541597698128	287.2504167485778	436.26197134019867	410.3003224882852	393.68522029223755	370.8683464022515	386.8142690937074
ENSG00000147872	505.1221007860777	591.4516615544283	497.90072236420144	463.69983117291554	523.569721354361	555.3972796190774	585.6518132035554	536.5323415434515
ENSG00000137145	1070.7165657507703	811.1337072746444	1354.4292377599606	1542.0077225986897	954.9574319294156	1024.919879457695	943.84660100573	967.2911643254797
ENSG00000137154	139340.77726015382	165700.34645135966	91495.35092508032	104812.62456097855	98756.4558879586	103968.02870796999	95150.40985177764	87738.36733782699
